time_s,frame_index,side,valid_mask,x,y,z,world_x,world_y,world_z,raw_speed,smoothed_speed,motion_source,motion_weight,boundary_x,boundary_y,interpolated_for_motion
12.5,625,left,True,0.7020936012268066,0.8536268472671509,-1.7441021782360622e-07,0.024234194308519363,0.060465008020401,0.04192968085408211,,,,0.0,0.671766,0.716027,False
12.5,625,right,False,,,,,,,,,,0.0,,,False
12.64,632,left,False,,,,,,,0.4177853,0.4125092,interpolated_for_motion,0.4,0.695489,0.749967,True
12.64,632,right,True,0.14759138226509094,0.9014914631843567,4.836119842366315e-07,-0.03363403305411339,0.0508413091301918,0.05768653377890587,,,,0.0,0.223709,0.700752,False
12.76,638,left,False,,,,,,,0.4104627,0.4118264,interpolated_for_motion,0.4,0.711272,0.739862,True
12.76,638,right,False,,,,,,,,,,0.0,,,False
12.88,644,left,False,,,,,,,0.408235,0.4123333,interpolated_for_motion,0.4,0.700563,0.73494,True
12.88,644,right,False,,,,,,,,,,0.0,,,False
13.0,650,left,True,0.739982545375824,0.7697923183441162,-3.740393594853231e-07,0.020599383860826492,0.011507198214530945,0.05469531938433647,0.41672,0.4145947,interpolated_for_motion,0.4,0.708215,0.742543,False
13.0,650,right,False,,,,,,,,,,0.0,,,False
13.14,657,left,True,0.7520365118980408,0.9849627017974854,-3.498514900002192e-08,0.027140146121382713,0.08490746468305588,0.021368740126490593,0.5388495,0.3949444,observed,1.0,0.70138,0.808994,False
13.14,657,right,False,,,,,,,,,,0.0,,,False
13.26,663,left,True,0.710310697555542,0.9608364105224609,5.3928386201107514e-09,0.032827481627464294,0.07727969437837601,0.02206486463546753,0.2628485,0.3742148,observed,1.0,0.656042,0.794296,False
13.26,663,right,True,0.3865058720111847,0.7066141366958618,2.7254756673755764e-07,-0.060994960367679596,0.06046009063720703,0.00817886646836996,,,,0.0,0.443949,0.597488,False
13.38,669,left,True,0.6814609169960022,0.947524905204773,-1.8262704770677374e-07,0.02820986695587635,0.08335088938474655,0.035325612872838974,0.3526099,0.3763019,observed,1.0,0.641092,0.78324,False
13.38,669,right,True,0.41624829173088074,0.7377550601959229,1.8209823338111164e-07,-0.05400446802377701,0.0719064325094223,0.018115069717168808,0.7060783,0.7043794,observed,1.0,0.468362,0.620658,False
13.5,675,left,True,0.6800186038017273,0.9397406578063965,-3.19638900236896e-07,0.03130023181438446,0.0840924009680748,0.022261887788772583,0.4274099,0.4188893,observed,1.0,0.640334,0.785619,False
13.5,675,right,True,0.4418816566467285,0.7600536346435547,2.0380907983508223e-07,-0.06012129783630371,0.06726126372814178,0.008380935527384281,0.7036281,0.6844431,observed,1.0,0.497581,0.657318,False
13.64,682,left,True,0.687932550907135,0.969167947769165,-4.1163966102431004e-07,0.022707877680659294,0.07122305035591125,0.033388908952474594,0.5743112,0.475289,observed,1.0,0.657604,0.820899,False
13.64,682,right,True,0.45867007970809937,0.8098287582397461,7.145386149431943e-08,-0.051314257085323334,0.05703848600387573,0.026818320155143738,0.6244165,0.5906563,observed,1.0,0.513713,0.704558,False
13.76,688,left,False,,,,,,,,,,0.0,,,False
13.76,688,right,False,,,,,,,0.4635149,0.5131748,interpolated_for_motion,0.4,0.512565,0.799671,True
13.88,694,left,False,,,,,,,,,,0.0,,,False
13.88,694,right,False,,,,,,,0.4714088,0.4889176,interpolated_for_motion,0.4,0.522901,0.881138,True
14.0,700,left,False,,,,,,,,,,0.0,,,False
14.0,700,right,True,0.4934564530849457,0.9391387104988098,2.779707699573919e-07,-0.05657446011900902,0.05408070236444473,0.034736718982458115,0.500177,0.5675367,interpolated_for_motion,0.4,0.536501,0.868297,False
14.14,707,left,False,,,,,,,,,,0.0,,,False
14.14,707,right,False,,,,,,,0.8356832,0.7245477,interpolated_for_motion,0.4,0.489914,0.725878,True
14.26,713,left,False,,,,,,,,,,0.0,,,False
14.26,713,right,True,0.4347214698791504,0.6438086032867432,-3.938774284506508e-08,-0.013547214679419994,0.033536460250616074,-0.013528111390769482,0.9130157,0.6651893,interpolated_for_motion,0.4,0.439567,0.580658,False
14.38,719,left,False,,,,,,,,,,0.0,,,False
14.38,719,right,True,0.40550386905670166,0.6234222054481506,-3.0816593721283425e-08,-0.010713111609220505,0.04237140342593193,-0.014373358339071274,0.3366742,0.4684228,observed,1.0,0.40425,0.564943,False
14.5,725,left,False,,,,,,,,,,0.0,,,False
14.5,725,right,True,0.40749603509902954,0.6445729732513428,-6.517962702901059e-08,0.028121860697865486,0.05428590625524521,0.004043060354888439,0.0990371,0.3144168,observed,1.0,0.392676,0.597513,False
14.64,732,left,False,,,,,,,,,,0.0,,,False
14.64,732,right,False,,,,,,,,,,0.0,,,False
14.76,738,left,False,,,,,,,,,,0.0,,,False
14.76,738,right,False,,,,,,,,,,0.0,,,False
14.88,744,left,False,,,,,,,,,,0.0,,,False
14.88,744,right,False,,,,,,,,,,0.0,,,False
15.0,750,left,False,,,,,,,,,,0.0,,,False
15.0,750,right,False,,,,,,,,,,0.0,,,False
15.14,757,left,False,,,,,,,,,,0.0,,,False
15.14,757,right,False,,,,,,,,,,0.0,,,False
15.26,763,left,False,,,,,,,,,,0.0,,,False
